,Name,District,Price,latitude,longitude
127,Chun Man Court 2 Rooms 2 Living RoomsFlat 2 Lower Floor Block C( Man Lan House ),Ho Man Tin,6900000,22.315244198083292,114.17887644288305
128,Bel Air Heights 2 Rooms 1 Living RoomFlat H Higher Floor Block 1,Diamond Hill / San Po Kong / Ngau Chi Wan,8980000,22.258298277043878,114.13172006333792
129,Peony Height 2 Rooms 2 Living RoomsFlat C Higher Floor,Ho Man Tin,7500000,22.276830000000075,114.17612000000008
130,Century Gateway Phase 1 2 Rooms 2 Living RoomsFlat E Middle Floor Block 1,Tuen Mun,9350000,22.399785179830985,113.96911860162817
131,Golden Lion Garden Stage 1 1 Room 1 Living RoomFlat 5 Middle Floor Golden Harvest Court,Shatin,4400000,22.367754214439856,114.18178415011347
132,City One Shatin Phase 3 2 Rooms 1 Living RoomFlat C Lower Floor Block 29,Shatin,5900000,22.41976239831176,114.2097321125724
133,One Pacific Heights 2 RoomsFlat B Lower Floor,Sheung Wan / Central,11650000,22.276900832216285,114.16585438628482
134,Harbour Green 3 Rooms 2 Living RoomsFlat F Middle Floor Block 5,Olympic,12500000,22.32211321905521,114.15906842887216
135,Monte Vista 3 Rooms 2 Living RoomsFlat C Middle Floor Block 10,Ma On Shan,9900000,22.42728821341268,114.24392644336854
136,Tsuen Wan CentreFlat H Middle Floor Hangchow House(Block 3),Tsuen Wan,4200000,22.36654807456191,114.07834458030707
137,Corinthia By The Sea 2 Rooms 2 Living RoomsFlat H Lower Floor Block 6,Po Lam / Tseung Kwan O Station,10500000,22.303522371469285,114.25942972272969
138,Tai Hong Building 2 Rooms 2 Living RoomsFlat C Lower Floor,Hong Kong West,7380000,22.278331067542695,114.17266566034994
139,Sunshine City Phase 4 3 RoomsFlat 8 Higher Floor Block K,Ma On Shan,9700000,22.42246986689588,114.23135406866231
140,Parc Regal 3 Rooms 2 Living RoomsFlat A Lower Floor Blk 1,Ho Man Tin,15500000,22.315068192443448,114.17633046362732
141,The Pacifica Phase 1Flat B Higher Floor Block 3,Lai Chi Kok,8199999,22.33476920306532,114.14973742894995
142,The Hudson 3 Rooms 2 Living RoomsFlat A Lower Floor,Hong Kong West,15000000,22.276830000000075,114.17612000000008
143,Serene Court 3 RoomsFlat A Lower Floor,North Point / Fortress Hill,28800000,22.29319794343078,114.01692595478467
144,Prima Villa 2 Rooms 2 Living RoomsFlat E Higher Floor Block 3,Shatin,8600000,22.38234320101776,114.2042444501069
145,Parkland Villas Phase 1 2 RoomsFlat E Higher Floor Block 4,Tuen Mun,6000000,22.410554201577156,113.98149843032695
146,Caribbean Coast Phase 2 2 Rooms 2 Living RoomsFlat F Middle Floor Block 6,Tung Chung,7300000,22.29301220326022,113.95091241413331
147,Eden ManorFlat H Lower Floor Tower 7,Sheung Shui / Fanling,4750000,22.276830000000075,114.17612000000008
148,Island Harbourview 2 Rooms 2 Living RoomsFlat B Middle Floor Block 08,Olympic,19400000,22.318652234473007,114.15778341520058
149,Coastal Skyline Le Bleu DeuxFlat D Lower Floor Block 2,Tung Chung,12000000,22.291233220792833,113.94522443645496
150,Sunshine City Phase 1 2 RoomsFlat 3 Lower Floor Block B,Ma On Shan,6300000,22.422750565916317,114.23258675414377
151,Jubilee Garden 2 Rooms 1 Living RoomFlat H Higher Floor Block 1,Shatin,7400000,22.284006193401098,114.15491604710004
152,Serenity Park Phase 1 2 RoomsFlat C Middle Floor Block 15,Tai Po,7000000,22.45394524932277,114.16147147460833
153,Grand Palisades 3 Rooms 2 Living RoomsFlat D Higher Floor Block 09,Tai Po,11600000,22.44144821189053,114.17254745887442
154,Bon-Point 3 Rooms 1 Living RoomFlat D Lower Floor,Hong Kong West,21000000,22.304822198194756,114.25162746836509
155,Richland Garden 2 RoomsFlat B Higher Floor Block 2,Tuen Mun,6400000,22.329429283831967,114.20679183577849
156,Island Harbourview 1 Room 2 Living RoomsFlat A Lower Floor Block 10,Olympic,11280000,22.318652234473007,114.15778341520058
157,Sol CityFlat D Middle Floor Tower 2,Yuen Long,9300000,22.276830000000075,114.17612000000008
158,Park Royale 2 RoomsFlat D Lower Floor Block 03,Yuen Long,5500000,22.362420850625355,114.17614378287976
159,Prime View Garden 2 RoomsFlat A Lower Floor Block 4,Tuen Mun,4880000,22.278782081075192,114.16023300048334
160,Woodlands Court 1 Room 1 Living RoomFlat B Higher Floor,Mid-Levels West,8800000,22.281762283426602,114.15071228246705
161,City One Shatin Phase 4 1 RoomFlat C Middle Floor Block 40,Shatin,5750000,22.420017627263448,114.21012262544133
162,Grand Central Phase I 4 Rooms 1 Living RoomFlat A Lower Floor Tower 1,Kwun Tong,24500000,22.28306370000007,114.15774490000001
163,The Sorentino 2 RoomsFlat H Higher Floor,Cheung Sha Wan / Sham Shui Po,7500000,22.276830000000075,114.17612000000008
164,Regal Court 3 Rooms 2 Living RoomsFlat A Lower Floor,Ho Man Tin,11500000,22.276830000000075,114.17612000000008
165,Lung Fung Garden 2 Rooms 1 Living RoomFlat 4 Middle Floor Block A,Sheung Shui / Fanling,5080000,22.420017627263448,114.21012262544133
166,Celeste Court 3 Rooms 2 Living RoomsFlat F Higher Floor,Happy Valley / Mid-Levels East,21000000,22.276830000000075,114.17612000000008
167,Providence Bay Phase 1 4 Rooms 2 Living RoomsFlat B Lower Floor Block 7,Tai Po,35000000,22.427030430374217,114.21220695330396
168,Park Vista (Park Yoho) Park Yoho Venezia (Phase 1B)Flat A Middle Floor Block 3A,Yuen Long,9680000,22.451027562715694,114.0532965543448
169,St. Barths Phase 1Flat B Lower Floor Cedar Court Tower 2,Ma On Shan,14300000,22.3658072019021,113.99940242141588
170,Kwai Chung Plaza 3 RoomsFlat C Lower Floor Block 1,Kwai Chung,8300000,22.296444025028705,114.01673074533079
171,Beverley Heights 2 Rooms 1 Living RoomFlat B Lower Floor Block 4,Braemar Hill / North Point Mid-Levels,12200000,22.286964260273237,114.19809642975622
172,Grand Yoho Phase 2Flat A Higher Floor Tower 8,Yuen Long,14800000,22.276830000000075,114.17612000000008
173,Metropolis Plaza 2 RoomsFlat A Higher Floor Block 1,Sheung Shui / Fanling,6300000,22.30100950746591,114.18313959343799
174,Fleur Pavilia 3 Rooms 1 Living RoomFlat J Middle Floor Tower 3,North Point / Fortress Hill,23000000,22.276830000000075,114.17612000000008
175,31 Robinson Road 4 Rooms 2 Living RoomsFlat B Higher Floor,Mid-Levels West,65000000,22.279155762996126,114.15129197489063
176,Lohas Park Wings At Sea II 1 Room 1 Living RoomFlat F Middle Floor Tower 5B,Lohas Park,7500000,22.276830000000075,114.17612000000008
177,The RegentFlat F Higher Floor Tower 8,Tai Po,6800000,22.276830000000075,114.17612000000008
178,Richland Garden 2 Rooms 1 Living RoomFlat G Lower Floor Block 1,Tuen Mun,5100000,22.37308422635732,113.96428747675759
179,Verbena Heights 2 Rooms 2 Living RoomsFlat E Lower Floor Block 3,Po Lam / Tseung Kwan O Station,4450000,22.330743401465355,114.17462635514079
180,Hyde Towers 2 Rooms 2 Living RoomsFlat 6 Lower Floor Block A,Kwun Tong,6400000,22.316427260384273,114.22052943031008
181,Kimbo Building 2 RoomsFlat A Lower Floor,Tuen Mun,3500000,22.276830000000075,114.17612000000008
182,Prime View Garden 2 RoomsFlat C Lower Floor Block 3,Tuen Mun,4600000,22.278782081075192,114.16023300048334
183,Banyan Garden Phase III 2 Rooms 2 Living RoomsFlat H Higher Floor Block 5,Lai Chi Kok,10500000,22.366112218010983,114.00003941073157
184,Century Link Phase 2Flat 01 Middle Floor Block 1B,Tung Chung,8300000,22.296755035546028,114.01150479633895
185,The Beverly Hills Boulevard Du Palais23 Sam Mun Tsai Road (House),Tai Po,32080000,22.460608963137773,114.2059638603618
186,Kingswood Villas Locwood Court 3 RoomsFlat C Higher Floor Block 06,Tin Shui Wai,5700000,22.451233800000068,114.00081420000004
187,Festival City Phase 2Flat ND Higher Floor Block 2,Shatin,12980000,22.36932725769907,114.17428645419648
188,Fairview Park Section J (5Th Street) 3 Rooms 2 Living Rooms5Th Street (House),Fairview / Palm Springs / The Vineyard,12500000,22.481328296110654,114.04227560985673
189,Far East Consortium Yuen Long BuildingFlat E Higher Floor,Yuen Long,4380000,22.444984700000077,114.03213790000007
190,Kent Court 3 Rooms 2 Living RoomsFlat C Middle Floor Block 5,Kowloon Tong / Beacon Hill,18800000,22.337487983674507,114.17612839218981
