,Unnamed: 0,Name,District,Price,address,loc,lat,long
5396,5396,"Galaxia
Flat 6 Higher Floor Block B",Diamond Hill / San Po Kong / Ngau Chi Wan,"$10.68
M",Galaxia Hong Kong,"星河明居 Galaxia, 鑽石山 Diamond Hill, 黃大仙區 Wong Tai Sin District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.341135100000002,114.202261305913
5397,5397,"Bellagio Phase 3
Flat F Higher Floor Block 1",Sham Tseng / Tsing Lung Tau,"$7.7
M",Bellagio Hong Kong,"碧堤半島 Bellagio, 深井 Sham Tseng, 深井村 Sham Tseng Village, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 中国",22.3663855,114.06128859035499
5398,5398,"Ying King Mansion 2 Rooms 1 Living Room
Flat A Middle Floor",Wan Chai / Causeway Bay,"$6
M",Ying King Mansion Hong Kong,"英京大廈 Ying King Mansion, 灣仔 Wan Chai, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.27751125,114.17437511538328
5399,5399,"Coral Court 3 Rooms 1 Living Room
Flat B4 Lower Floor Block B",Braemar Hill / North Point Mid-Levels,"$17.2
M",Coral Hong Kong,"大家樂中央產製1廠 Cafe de Coral Central Processing Plant 1, 麥屋 Mak Uk, 大埔 Tai Po, 大埔區 Tai Po District, 新界 New Territories, 香港 Hong Kong, 中国",22.458244800000003,114.18534403092103
5400,5400,"The Latitude 3 Rooms 1 Living Room
Flat B Lower Floor Block 7",Diamond Hill / San Po Kong / Ngau Chi Wan,"$15.2
M",The Latitude Hong Kong,"譽·港灣 The Latitude, 新蒲崗 San Po Kong, 黃大仙區 Wong Tai Sin District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.333422249999998,114.1966876799619
5401,5401,"The Avenue Phase 2 3 Rooms 2 Living Rooms
Flat A Higher Floor Tower 1",Wan Chai / Causeway Bay,"$38
M",The Avenue Tower Hong Kong,"第2座 Tower 2, 利東街 Lee Tung Avenue, 囍匯 The Avenue, 灣仔 Wan Chai, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.27539105,114.17207215992535
5402,5402,"Parc Oasis 3 Rooms 2 Living Rooms
Flat D Lower Floor Block 01",Yau Yat Chuen / Shek Kip Mei,"$35.32
M",Parc Oasis Hong Kong,"又一居 Parc Oasis, 石硤尾 Shek Kip Mei, 深水埗區 Sham Shui Po District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.3341133,114.17471266134254
5403,5403,"Parker33
Flat D Lower Floor",Shau Kei Wan,"$6.98
M", Hong Kong,"香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2793278,114.1628131
5404,5404,"Belleve Court 1 Room 1 Living Room
Flat 5 Lower Floor Block A",Shau Kei Wan,"$4.98
M",Belleve Hong Kong,"碧麗閣 Belleve Court, 西灣河 Sai Wan Ho, 東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2795876,114.22420137409726
5405,5405,"Seven Victory Avenue
Flat J Middle Floor",Ho Man Tin,"$4.35
M",Seven Victory Avenue Hong Kong,,0.0,0.0
5406,5406,"The Zutten
Flat E Middle Floor",To Kwa Wan,"$4.55
M",The Zutten Hong Kong,"迎豐 The Zutten, 馬頭涌 Ma Tau Chung, 九龍城區 Kowloon City District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.322016599999998,114.19033216021555
5407,5407,"Taikoo Shing Sing Fai Terrace 2 Rooms 2 Living Rooms
Flat C Lower Floor Wai Sing Mansion",Taikoo / Sai Wan Ho,"$11
M",Taikoo Shing Sing Fai Terrace Wai Sing Mansion Hong Kong,,0.0,0.0
5408,5408,"The Long Beach 2 Rooms 1 Living Room
Flat E Higher Floor Block 2",Olympic,"$13.5
M",The Long Beach Hong Kong,"浪澄灣 The Long Beach, 大角咀 Tai Kok Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.3197066,114.15578244390933
5409,5409,"Julimount Garden 3 Rooms 1 Living Room
Higher Floor Block 5",Shatin,"$45
M",Julimount Garden Hong Kong,"瑞峰花園 Julimount Garden, 沙田頭 Sha Tin Tau, 上徑口 Sheung Keng Hau, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国",22.3619038,114.17656929389162
5410,5410,"Villa Tiara
Flat C Higher Floor Block 1",Tuen Mun,"$7.58
M",Villa Tiara Hong Kong,"怡峰園 Villa Tiara, 井頭上村南 Tseng Tau Sheung Tsuen South, 屯門 Tuen Mun, 屯門區 Tuen Mun District, 新界 New Territories, 香港 Hong Kong, 中国",22.391529650000003,113.98041410350736
5411,5411,"Florient Rise 2 Rooms 2 Living Rooms
Flat D Lower Floor Tower 3",Olympic,"$12.2
M",Florient Rise Tower Hong Kong,"第一座 Tower 1, 振榮街 Chun Wing Street, 大角咀 Tai Kok Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.318329,114.16142474123015
5412,5412,"Hoi Shing Building 2 Rooms 1 Living Room
Flat C Lower Floor",Tuen Mun,"$4.8
M",Hoi Shing Building Hong Kong,"海城洋樓 Hoi Shing Building, 銅鑼灣 Causeway Bay, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2863303,114.19128329128205
5413,5413,"Mei Foo Sun Chuen Phase III 3 Rooms
Flat C Middle Floor Broadway 052",Mei Foo,"$11.6
M",Mei Foo Sun Chuen III Broadway Hong Kong,,0.0,0.0
5414,5414,"Bonham Ville 2 Rooms 1 Living Room
Middle Floor",Sheung Wan / Central,"$9.6
M",Bonham Ville Hong Kong,"般景台 Bonham Ville, 5, 般咸道 Bonham Road, 西半山 Mid-Levels West, 上環 Sheung Wan, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.283943,114.14629032200786
5415,5415,"Kornhill 3 Rooms 2 Living Rooms
Flat 12 Middle Floor Block C",Quarry Bay,"$10.05
M",Kornhill Hong Kong,"Bible Baptist Church - Sai Wan Ho, Hong Kong, 46-56, 西灣河街 Sai Wan Ho Street, 愛秩序灣 Aldrich Bay, 西灣河 Sai Wan Ho, 東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.280348,114.2234722
5416,5416,"One East Coast
Flat F Higher Floor Block 2",Lam Tin / Yau Tong,"$4.5
M",One East Coast Hong Kong,"海傲灣 One East Coast, 安里西村 On Li Sai Tsuen, 觀塘區 Kwun Tong District, 九龍 Kowloon, 香港 Hong Kong, 中国",22.292741149999998,114.23860696138578
